instance_id,artist_name,track_hash,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
25893,Ludwig van Beethoven,3bOnop7iUNjCpabeXgxfxk,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",0,0.861,0.25,568733,0.021,0.0356,E,0.249,-25.008000000000003,Minor,0.0385,123.736,4-Apr,0.0397,Classical
42970,Andrea Bocelli,3WW9NaxJkWXfahwf5H0VVM,Un'Anima,44,0.7879999999999999,0.11900000000000001,271520,0.34600000000000003,2.2e-05,C#,0.129,-8.093,Major,0.0376,64.63,5-Apr,0.135,Classical
75561,Wolfgang Amadeus Mozart,3VWttOQc5ZeV04hzcnmpvG,"Le nozze di Figaro, K.492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",48,0.991,0.183,210533,0.0702,5.8899999999999995e-05,A#,0.45899999999999996,-22.228,Major,0.0521,71.221,4-Apr,0.11800000000000001,Classical
82118,Ólafur Arnalds,3XcsaghGUCL9WzJz3TlLKo,partial,47,0.963,0.203,196088,0.1,0.8490000000000001,F#,0.139,-19.910999999999998,Minor,0.039,66.717,4-Apr,0.0596,Classical
33619,Franz Schubert,5IpoGlfJTJHxqRcvoWs4f0,"Die Forelle, Op. 32, D. 550",23,0.985,0.36700000000000005,-1,0.0902,0.00395,B,0.0821,-21.136,Major,0.0557,176.34799999999998,4-Apr,0.565,Classical
21928,Arcangelo Corelli,44288Pd23qyQs0FyCqti8L,"Sonata a violono e violone e cimbalo, Op. 5, Sonata No.11 in E: II.Allegro",35,0.89,0.455,174613,0.271,0.22899999999999998,D#,0.0766,-15.999,Major,0.0408,117.309,4-Apr,0.569,Classical
33620,Johannes Brahms,439X8jGytErRiPnaoUJHju,"8 Klavierstücke, Op. 76: No. 3, Intermezzo in A-Flat Major",24,0.995,0.369,-1,0.0043100000000000005,0.887,G#,0.0746,-34.565,Major,0.0562,69.69,3-Apr,0.124,Classical
73471,Ludwig van Beethoven,3BucMqBqIR5Aw7MrUkF00y,"Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": I. Allegro con brio (Live)",10,0.9309999999999999,0.263,-1,0.14,0.768,D#,0.294,-16.288,Major,0.0353,144.67700000000002,3-Apr,0.158,Classical
83792,Trans-Siberian Orchestra,41hKOXSa1WMSpdQgsgK0fc,Forget About The Blame - Sun Version,30,0.0245,0.546,255893,0.54,0.0,D,0.135,-8.289,Major,0.0245,87.53200000000001,4-Apr,0.183,Classical
42375,Gustav Mahler,3xMQOd1C3TXsjQ3pmzOmkC,"Symphony No. 8 in E-Flat Major - ""Symphony of a Thousand"" / Pt. 2: ""Gerettet ist das edle Glied""",4,0.983,0.278,64387,0.267,0.6629999999999999,B,0.32799999999999996,-16.018,Major,0.0333,100.934,4-Apr,0.307,Classical
